crop,value
Rice,206.4
Wheat,150.8
Barley,110.3
Cereals,183.1
Arhar,119.9
Groundnut,195.7
Sesamum,137.9
Sunflower,85.6
Soyabean,364.4
Coconut,97.7
Cotton,310.8
Jute,213.8
Coffee,161.1
Rubber,210.1
Cardamom,162.2
Coriander,261.3
Garlic,308.2
Potato,259.1
Onion,409.1
Banana,339.4
Tobacco,140.9
