crop,value
Rice,213.3
Wheat,140.1
Barley,112
Cereals,177.7
Arhar,94.9
Groundnut,169.8
Sesamum,98.8
Sunflower,152.2
Soyabean,283.4
Coconut,91.4
Cotton,209.8
Jute,205.8
Coffee,139.9
Rubber,216.5
Cardamom,157.1
Coriander,131.3
Garlic,242.1
Potato,210.5
Onion,367.1
Banana,298.8
Tobacco,96.4
