crop,value
Rice,207.9
Wheat,136.4
Barley,79.3
Cereals,174.6
Arhar,128.9
Groundnut,217.5
Sesamum,116.8
Sunflower,192.3
Soyabean,313.8
Coconut,91.4
Cotton,243.8
Jute,218.3
Coffee,139.8
Rubber,208.6
Cardamom,135.8
Coriander,167.9
Garlic,311.3
Potato,174.2
Onion,247.3
Banana,201.1
Tobacco,83.6
