crop,value
Rice,191.6
Wheat,140.3
Barley,89.9
Cereals,164.4
Arhar,103.3
Groundnut,128.6
Sesamum,90.8
Sunflower,111.8
Soyabean,285.1
Coconut,97.5
Cotton,226.2
Jute,239.8
Coffee,154.5
Rubber,210.1
Cardamom,159.2
Coriander,128.5
Garlic,243
Potato,223.8
Onion,329.1
Banana,301.7
Tobacco,105.3
